"m/z" "var_m/z" "max_int" "sum_int" "RT" "minRT" "maxRT" "part_ID" "EIC_ID" "peak_ID" "Score"
"1" 274.273993707472 4.43750171251194e-08 5821800448 41352814681.4375 1144.7 1134.86 1161.6 3712 7423 4671 0
"2" 218.211480165139 6.66379526398282e-09 4928420864 40624848945.8438 922.296 911.646 945.328 2704 4317 2285 0
"3" 234.206392560686 4.42378222942352e-09 4623230976 35868080853.1719 955.987 943.559 987.913 3013 5199 2899 0
"4" 246.24276775784 7.16434673420967e-09 4383368192 32011566347.3125 1056.05 1044.5 1075.62 3220 5869 3424 0
"5" 262.237655994504 2.85481825751456e-09 3053997056 21649932875.0234 1075.62 1066.78 1103.92 3509 6784 4201 0
"6" 290.268918059593 1.67999041172885e-08 2795776768 18438094051.7969 1158.93 1150.96 1188.14 4017 8311 5360 0
"7" 315.171032195396 6.98707315460826e-09 1668337280 12775868266.8984 1330.5 1320.77 1361.45 4455 9643 6323 0
"8" 239.148892466227 2.39532746079951e-09 1334205056 13425393562.25 682.534 665.912 720.104 3102 5480 3108 0
"9" 275.277381388346 4.62246437867482e-08 1001503744 7162199167.17969 1144.7 1136.63 1162.48 3736 7504 4735 0
"10" 195.122703857422 9.2410007301642e-10 917028352 13969155215.5 609.843 595.882 641.23 2237 3108 1498 0
"11" 230.247944599873 1.62446569349315e-08 900098944 5507656724.07812 1155.38 1141.05 1179.28 2940 4961 2728 0
"12" 256.175409881162 2.87342059540317e-09 872213312 9233036428.5 682.534 670.545 734.9 3404 6409 3860 0
"13" 300.201648712158 9.33439216830514e-10 825760768 7179971693.125 735.811 710.766 761.529 4204 8837 5726 0
"14" 202.201057910919 1.52313957862075e-08 678292288 5121886955.625 1170.44 1161.6 1189.03 2388 3450 1739 0
"15" 247.246076247271 8.52488027802551e-09 648782656 4823184223.05859 1056.05 1047.15 1077.39 3242 5935 3471 0
"16" 219.214807610763 1.17223439565933e-08 638488960 5283152561.01562 922.296 911.646 945.328 2729 4395 2344 0
"17" 235.209716384475 3.40820712459696e-09 606500480 4683494016.3125 955.987 947.98 979.955 3041 5270 2944 0
"18" 263.199859619141 1.60739377692894e-08 582318464 4753739885.13281 1189.03 1176.63 1224.4 3532 6848 4245 0
