Name,CASRN_DTXSID,Identifier,SMILES_DTXSID,SMILES,MolecularFormula,MonoisotopicMass,InChI,InChIKey,DTXCID_MSready,EXPOCAST_MEDIAN_EXPOSURE_PREDICTION_MGperKG_BWperDAY,DATA_SOURCES,TOXCAST_PERCENT_ACTIVE,NUMBER_OF_PUBMED_ARTICLES,PUBCHEM_DATA_SOURCES,CPDAT_COUNT,KEMIMARKET,MASSBANKREF,NORMANPRI,STOFFIDENT,TOXCAST
4-Aminocyclohexane-1-carbonyl chloride,763036-24-4,DTXSID60607771,NC1CCC(CC1)C(Cl)=O,NC1CCC(CC1)C(Cl)=O,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c8-7(10)5-1-3-6(9)4-2-5/h5-6H,1-4,9H2",APTWNBJOOHBJNZ-UHFFFAOYSA-N,DTXCID70558528,-,1,-,-,13,-,-,-,-,-,-
"2H-Azepin-2-one, 1-(chloromethyl)hexahydro-",57753-82-9,DTXSID10481245,ClCN1CCCCCC1=O,ClCN1CCCCCC1=O,C7H12ClNO,161.0607417,InChI=1S/C7H12ClNO/c8-6-9-5-3-1-2-4-7(9)10/h1-6H2,AYEOFPZPAQRMNT-UHFFFAOYSA-N,DTXCID10432055,-,1,-,-,9,-,-,-,-,-,-
1-Chlorocyclohexane-1-carboxamide,7476-58-6,DTXSID30322666,NC(=O)C1(Cl)CCCCC1,NC(=O)C1(Cl)CCCCC1,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c8-7(6(9)10)4-2-1-3-5-7/h1-5H2,(H2,9,10)",BUAANKTWFUEEKM-UHFFFAOYSA-N,DTXCID30273785,-,2,-,-,17,-,-,-,-,-,-
tert-Butyl(ethenyl)carbamyl chloride,28705-47-7,DTXSID00503046,CC(C)(C)N(C=C)C(Cl)=O,CC(C)(C)N(C=C)C(Cl)=O,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c1-5-9(6(8)10)7(2,3)4/h5H,1H2,2-4H3",DUXCOTKQMWMAPC-UHFFFAOYSA-N,DTXCID60453856,-,2,-,-,9,-,-,-,-,-,-
2-Aminocyclohexane-1-carbonyl chloride,4363-92-2,DTXSID50701893,NC1CCCCC1C(Cl)=O,NC1CCCCC1C(Cl)=O,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c8-7(10)5-3-1-2-4-6(5)9/h5-6H,1-4,9H2",HAWLYYVUCRNJRC-UHFFFAOYSA-N,DTXCID20984959,-,1,-,-,3,-,-,-,-,-,-
"Oxazole, 2-(1-chloroethyl)-4,5-dihydro-4,4-dimethyl-",73470-71-0,DTXSID80444620,CC(Cl)C1=NC(C)(C)CO1,CC(Cl)C1=NC(C)(C)CO1,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c1-5(8)6-9-7(2,3)4-10-6/h5H,4H2,1-3H3",HOTBIGCBNLWORX-UHFFFAOYSA-N,DTXCID301000525,-,1,-,-,11,-,-,-,-,-,-
1-(Aminomethyl)cyclopentane-1-carbonyl chloride,730233-99-5,DTXSID50664535,NCC1(CCCC1)C(Cl)=O,NCC1(CCCC1)C(Cl)=O,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c8-6(10)7(5-9)3-1-2-4-7/h1-5,9H2",HSYGYKNYIWXGIF-UHFFFAOYSA-N,DTXCID50615284,-,1,-,-,7,-,-,-,-,-,-
N-Chloro-N-cyclopentylacetamide,87740-40-7,DTXSID10527490,CC(=O)N(Cl)C1CCCC1,CC(=O)N(Cl)C1CCCC1,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c1-6(10)9(8)7-4-2-3-5-7/h7H,2-5H2,1H3",IQEUMEHYMHHRKI-UHFFFAOYSA-N,DTXCID50478295,-,1,-,-,4,-,-,-,-,-,-
"3-Chloro-5,5-dimethylpiperidin-2-one",63624-44-2,DTXSID80620467,CC1(C)CNC(=O)C(Cl)C1,CC1(C)CNC(=O)C(Cl)C1,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c1-7(2)3-5(8)6(10)9-4-7/h5H,3-4H2,1-2H3,(H,9,10)",JGRLFNQZUOIYAX-UHFFFAOYSA-N,DTXCID80869536,-,1,-,-,10,-,-,-,-,-,-
"Cyclohexanecarbonylchloride, 1-amino-",756416-32-7,DTXSID50276511,NC1(CCCCC1)C(Cl)=O,NC1(CCCCC1)C(Cl)=O,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c8-6(10)7(9)4-2-1-3-5-7/h1-5,9H2",JOTOFQJAYOTZPA-UHFFFAOYSA-N,DTXCID50197833,-,1,-,-,13,-,-,-,-,-,-
